N,nworkers,policy,tileSize,chunkSize,time,checksum
3000,8,3,8,32,2077.6,974046
3000,8,3,8,64,1937.42,974046
3000,8,3,8,128,2761.05,974046
3000,10,3,1,32,2935,974046
3000,10,3,1,64,5325.73,974046
3000,10,3,1,128,3957.81,974046
3000,10,3,4,32,2442.3,974046
3000,10,3,4,64,1082.88,974046
3000,10,3,4,128,1908.62,974046
3000,10,3,8,32,1962.73,974046
3000,10,3,8,64,1185.1,974046
3000,10,3,8,128,1651.09,974046
3000,12,3,1,32,2238.41,974046
3000,12,3,1,64,4999.88,974046
3000,12,3,1,128,2875.79,974046
3000,12,3,4,32,1542.73,974046
3000,12,3,4,64,2961.46,974046
3000,12,3,4,128,2443.52,974046
3000,12,3,8,32,1490.28,974046
3000,12,3,8,64,1993.2,974046
3000,12,3,8,128,1700.72,974046
3000,14,3,1,32,1650.07,974046
3000,14,3,1,64,3922.94,974046
3000,14,3,1,128,4414.49,974046
3000,14,3,4,32,1132.92,974046
3000,14,3,4,64,897.808,974046
3000,14,3,4,128,603.991,974046
3000,14,3,8,32,783.091,974046
3000,14,3,8,64,1179.09,974046
3000,14,3,8,128,1896.58,974046
3000,16,3,1,32,2699.86,974046
3000,16,3,1,64,4475.83,974046
3000,16,3,1,128,2170.35,974046
3000,16,3,4,32,2812.8,974046
3000,16,3,4,64,1298.75,974046
3000,16,3,4,128,2668.25,974046
3000,16,3,8,32,852.463,974046
3000,16,3,8,64,2386.74,974046
3000,16,3,8,128,1137.6,974046
3000,24,3,1,32,7775.06,974046
3000,24,3,1,64,818.103,974046
3000,24,3,1,128,826.563,974046
3000,24,3,4,32,734.843,974046
3000,24,3,4,64,842.328,974046
3000,24,3,4,128,763.628,974046
3000,24,3,8,32,731.483,974046
3000,24,3,8,64,762.541,974046
3000,24,3,8,128,751.542,974046
3000,32,3,1,32,938.134,974046
3000,32,3,1,64,13665.7,974046
3000,32,3,1,128,966.395,974046
3000,32,3,4,32,2674.66,974046
3000,32,3,4,64,1061.52,974046
3000,32,3,4,128,1541.39,974046
3000,32,3,8,32,610.136,974046
3000,32,3,8,64,751.838,974046
3000,32,3,8,128,1137.17,974046
4000,1,0,1,1,38238.6,1790845
4000,1,0,4,1,38214.8,1790845
4000,1,0,8,1,38513.4,1790845
4000,1,1,1,1,39538.1,1790845
4000,1,1,4,1,27624.6,1790845
4000,1,1,8,1,25593.9,1790845
4000,2,1,1,1,23047,1790845
4000,2,1,4,1,14815.7,1790845
4000,2,1,8,1,12798.7,1790845
4000,4,1,1,1,12243,1790845
4000,4,1,4,1,7568.53,1790845
4000,4,1,8,1,6888.25,1790845
4000,6,1,1,1,9128.07,1790845
4000,6,1,4,1,5382.97,1790845
4000,6,1,8,1,9180.72,1790845
4000,8,1,1,1,5933.07,1790845
4000,8,1,4,1,8332.88,1790845
4000,8,1,8,1,3514.53,1790845
4000,10,1,1,1,9341.84,1790845
