N,nworkers,policy,tileSize,chunkSize,time
4000,8,3,1,128,7175.98
4000,8,3,4,32,6844.58
4000,8,3,4,64,6837.87
4000,8,3,4,128,6924.1
4000,8,3,8,32,6838.15
4000,8,3,8,64,6785.05
4000,8,3,8,128,6747.18
4000,8,3,16,32,6950.3
4000,8,3,16,64,6942.08
4000,8,3,16,128,6911.5
4000,10,1,1,1,5751.88
4000,10,1,4,1,5536.35
4000,10,1,8,1,5529.05
4000,10,1,16,1,5625.48
4000,10,2,1,1,5700.71
4000,10,2,4,1,5477.05
4000,10,2,8,1,5485.91
4000,10,2,16,1,5613.57
4000,10,3,1,32,5758.68
4000,10,3,1,64,5782.45
4000,10,3,1,128,5759.81
4000,10,3,4,32,5464.16
4000,10,3,4,64,5451.58
4000,10,3,4,128,5477.43
4000,10,3,8,32,5525.25
4000,10,3,8,64,5510.5
4000,10,3,8,128,5496.8
4000,10,3,16,32,5640.47
4000,10,3,16,64,5680.83
4000,10,3,16,128,5637.5
4000,12,1,1,1,4880.87
4000,12,1,4,1,4649.14
4000,12,1,8,1,4655.14
4000,12,1,16,1,4799.26
4000,12,2,1,1,5020.99
4000,12,2,4,1,4667.35
4000,12,2,8,1,4681.13
4000,12,2,16,1,4801.5
4000,12,3,1,32,4961.54
4000,12,3,1,64,4988.74
4000,12,3,1,128,4881.16
4000,12,3,4,32,4639.03
4000,12,3,4,64,4666.03
4000,12,3,4,128,4632.19
4000,12,3,8,32,4638.92
4000,12,3,8,64,4621.79
4000,12,3,8,128,4620.41
4000,12,3,16,32,4788.94
4000,12,3,16,64,4846.66
4000,12,3,16,128,4790.69
4000,14,1,1,1,4265.29
4000,14,1,4,1,4017.21
4000,14,1,8,1,4035.08
4000,14,1,16,1,4171.79
4000,14,2,1,1,4278.37
4000,14,2,4,1,4010.45
4000,14,2,8,1,3999.66
4000,14,2,16,1,4167.62
4000,14,3,1,32,4230.35
4000,14,3,1,64,4343.83
4000,14,3,1,128,4308.71
4000,14,3,4,32,3997.8
4000,14,3,4,64,3989.69
